num_dense_layers,learning_rate,dense_units_0,dropout_0,dense_units_1,dropout_1,dense_units_2,dropout_2,dense_units_3,dropout_3,dense_units_4,dropout_4,train_accuracy,val_accuracy,train_f1_score,val_f1_score,train_loss,val_loss
4,0.01,192,0.2,256.0,0.2,192.0,0.2,384.0,0.2,,,0.764843762,0.8994787931442261,0.5706609487533569,0.6937710046768188,0.03500754,0.0170129612088203
3,0.001,256,0.2,192.0,0.2,256.0,0.2,,,,,0.824023426,0.9448994994163512,0.6229748129844666,0.7946810126304626,0.0248135812580585,0.010946763
4,0.0001,448,0.2,64.0,0.2,64.0,0.2,64.0,0.2,,,0.545703113,0.8704392910003662,0.4144940972328186,0.6205519437789917,0.1474254429340362,0.0205118935555219
5,0.0001,512,0.2,448.0,0.2,128.0,0.2,256.0,0.2,64.0,0.2,0.546093762,0.8138495683670044,0.4185972809791565,0.5826820135116577,0.1112892851233482,0.0280668418854475
4,0.001,512,0.2,448.0,0.2,192.0,0.2,192.0,0.2,,,0.8001953363418579,0.9322412610054016,0.6033610105514526,0.7620916962623596,0.028314885,0.012345537
2,0.01,512,0.2,192.0,0.2,,,,,,,0.7708984613418579,0.9166046380996704,0.571688712,0.715226412,0.034861646592617,0.0128027619794011
5,0.001,320,0.2,192.0,0.2,64.0,0.2,192.0,0.2,384.0,0.2,0.677539051,0.8920327425003052,0.49632328748703,0.6800214052200317,0.056671869,0.017293099
2,0.0001,320,0.2,192.0,0.2,,,,,,,0.6478515863418579,0.8659716844558716,0.487600028514862,0.6475111842155457,0.0616717711091041,0.0218099039047956
4,0.01,64,0.2,64.0,0.2,448.0,0.2,192.0,0.2,,,0.711914063,0.9307520389556884,0.5257989764213562,0.6950037479400635,0.039565381,0.0256371516734361
1,0.001,256,0.2,,,,,,,,,0.839648426,0.942665696,0.6399857997894287,0.7870797514915466,0.0239387713372707,0.0114919114857912
4,0.001,320,,512.0,,512.0,,448.0,,,,0.841015637,0.9545792937278748,0.6516017913818359,0.7910273671150208,0.0235780924558639,0.009605458
1,0.0001,64,,,,,,,,,,0.828320324,0.8659716844558716,0.6225500106811523,0.6354717016220093,0.0255548506975173,0.0228719878941774
4,0.01,384,,64.0,,64.0,,64.0,,,,0.346679688,0.9471333026885986,0.2548241019248962,0.614631712,0.1787636131048202,0.0155209433287382
2,0.001,128,,320.0,,,,,,,,0.846484363,0.9456440806388856,0.6453596949577332,0.760997474,0.02209143,0.0102208508178591
2,0.001,320,,448.0,,,,,,,,0.840624988,0.9448994994163512,0.64505589,0.7702740430831909,0.0230436585843563,0.011748993769288
2,0.0001,320,,64.0,,,,,,,,0.8060547113418579,0.9262844324111938,0.5972812175750732,0.7389510869979858,0.0286772288382053,0.018298728
4,0.01,320,,64.0,,512.0,,128.0,,,,0.368164063,0.9285182356834412,0.2479222565889358,0.4892013967037201,0.1286359131336212,0.041026749
4,0.0001,512,,384.0,,512.0,,512.0,,,,0.8685547113418579,0.9650037288665771,0.6800242066383362,0.8357551097869873,0.0196215044707059,0.008077585
1,0.01,256,,,,,,,,,,0.849804699,0.9151154160499572,0.6378503441810608,0.7270057797431946,0.039874226,0.014633079059422
1,0.001,64,,,,,,,,,,0.864062488,0.949367106,0.6646007299423218,0.8003668189048767,0.022095045,0.0117370635271072
